truevalue,estimate,dem,ev,year,month
7.214910171,9.043478261,481,0.044456821,2017,11
16.28443734,15.39130435,300,0.049379756,2015,4
271.3822969,270.3478261,75,-0.177883862,2016,2
69.39924043,79.23809524,33,0.084475926,2016,11
16.4759848,14.52173913,318,-0.036487958,2018,8
73.89484019,85.375,66,0.07998897,2017,11
102.6193129,105,9,0.025770844,2015,6
37.22095601,21.04347826,66,0.07998897,2018,11
70.18508338,55,69,-0.180453342,2018,4
48.31916362,72.63157895,3,0.152045335,2018,11
39.84560276,40.95652174,318,-0.036487958,2016,4
168.5293984,220.0416667,76,-0.172777826,2017,4
12.43563393,7.727272727,18,0.136162981,2018,11
23.20859792,21.25,55,0.089804247,2018,6
82.08904797,82.79166667,27,-0.134536502,2018,5
55.56038752,56.45833333,27,0.068097112,2015,10
107.5726113,91.5,23,-0.129274298,2017,2
51.4917069,65.95652174,7,0.150130969,2017,3
78.32275945,84.5,33,0.062590369,2015,5
72.58113991,62.125,52,0.082163263,2016,7
14.39444429,11.83333333,10,0.122026532,2017,2
19.5491234,15.43478261,726,-0.049464726,2015,2
17.65105094,19.08333333,27,0.067314271,2017,6
90.88126909,93.625,25,-0.060013471,2015,7
11.2021861,10.0952381,744,-0.050279932,2018,6
4.530927799,6.043478261,66,0.07998897,2017,1
35.5370521,26,75,-0.179730082,2018,9
20.26249889,21.5,33,0.084475926,2016,8
41.8795433,29.28571429,80,-0.176214204,2018,12
12.92069004,12.70833333,744,-0.050279932,2017,5
20.13030842,27.76190476,20,0.13739371,2018,11
31.68973745,58.5,759,-0.050850333,2015,4
72.47275838,82.70833333,79,-0.178420661,2018,12
56.77425729,53.70833333,59,-0.147033209,2018,12
21.88470618,22.5,816,-0.051549123,2015,9
35.18255956,35.29166667,318,-0.036487958,2016,12
38.31450836,29.66666667,318,-0.036487958,2018,12
76.28437674,82.0952381,13,-0.049332921,2018,12
35.49306763,21.91304348,31,0.072374424,2018,2
82.07135638,65.66666667,10,0.122026532,2016,3
33.22679834,29.25,8,-0.047144013,2017,9
22.5287469,17.95833333,66,0.07998897,2015,4
33.59546195,31.58333333,33,0.062590369,2018,1
29.61101973,13.72727273,481,0.044456821,2018,12
110.2542097,143.4583333,18,0.136162981,2016,5
23.53645128,26.25,18,0.136162981,2016,6
30.26999739,36.91666667,344,-0.040623869,2018,5
33.26643297,27,481,0.044456821,2017,3
38.83287942,26.125,27,0.068097112,2017,10
35.5289406,38.29166667,2,0.144980798,2017,12
19.74093724,22.79166667,387,-0.036219,2018,7
18.81933774,19.33333333,10,0.122026532,2015,5
16.86302268,16.75,726,-0.049464726,2016,10
81.73919707,82.5,9,0.025348898,2017,12
23.73257151,22.75,9,0.025770844,2015,1
32.23366067,26,8,-0.047144013,2015,6
105.4683124,110.7916667,7,0.144086546,2015,2
34.07290041,78.16666667,18,-0.053366587,2018,1
123.7924093,87.29166667,61,-0.14711937,2018,5
59.03970758,50.3,52,0.082163263,2017,6
24.31848239,25.83333333,0,0.123869952,2016,11
64.53157086,52.9047619,9,0.025348898,2018,4
115.2913926,137.7083333,27,-0.134536502,2015,10
71.33010815,82.41666667,19,-0.053016014,2018,3
58.64570566,52.31818182,59,-0.147033209,2017,12
21.01491845,19.91666667,79,-0.178420661,2017,2
41.49469425,37.29166667,744,-0.050279932,2018,11
115.6992158,116,60,-0.147037803,2016,3
71.77312905,78.54166667,9,0.146134461,2018,3
47.29153523,47.375,10,0.122026532,2016,2
14.27005448,5.8125,759,-0.050850333,2017,11
12.62674746,17.91666667,18,0.136162981,2015,10
34.15280144,41.25,300,0.049379756,2018,5
48.97921684,61.25,481,0.044456821,2017,8
83.94477653,81.29166667,55,0.089804247,2017,5
14.19449988,9.958333333,387,-0.036219,2015,12
33.22076872,26.91666667,33,0.084475926,2015,5
13.7924333,27.91666667,21,0.140187121,2016,1
18.29926861,24.25,8,-0.047144013,2017,1
33.2596665,29.18181818,8,-0.047144013,2016,12
21.90061516,20.04545455,2,0.144980798,2018,3
122.6486442,124.826087,41,0.087615208,2017,6
23.28514142,30,2,0.144980798,2016,6
35.25460413,68.23809524,7,0.150130969,2017,5
94.38720429,92.08333333,357,-0.180888769,2016,6
59.90958269,56.375,3,0.152045335,2018,11
39.99955855,41,76,-0.172777826,2016,10
170.3636034,164.2916667,69,-0.180453342,2018,1
35.46323242,29.625,9,0.025348898,2017,3
44.87126756,41.95652174,28,-0.044715596,2018,10
40.06384155,47.04166667,79,-0.178420661,2015,10
129.4507237,133.8333333,13,-0.049332921,2018,2
44.69784269,46.45833333,23,-0.129274298,2015,12
22.28915496,23.29166667,79,-0.178420661,2015,2
60.22635216,73.625,80,-0.176214204,2018,2
43.6940774,45.57142857,481,0.044456821,2018,10
18.32419039,15.875,20,0.13739371,2017,11
13.91533161,14.16666667,300,0.049379756,2016,8
135.7064041,119.0416667,68,-0.179888654,2016,9
44.97763432,46.41666667,1,0.149361688,2018,10
131.2942411,105.875,68,-0.179888654,2017,1
45.05487902,45.13043478,336,-0.039659049,2015,8
80.54992455,66.625,2,0.144980798,2015,10
24.6395011,26.5,13,-0.049332921,2016,7
173.8563628,218.4545455,80,-0.176214204,2017,3
45.07733053,48.75,9,0.025770844,2015,2
25.44758371,32.95833333,16,0.139928563,2015,2
8.058194719,9.260869565,41,0.087615208,2018,11
29.70764489,27.625,16,0.139928563,2016,12
24.90438068,17.125,347,-0.037467693,2017,2
19.12179295,53.2173913,18,-0.053366587,2015,1
47.95499906,76.75,357,-0.180888769,2017,1
13.4393897,22.66666667,816,-0.051549123,2017,5
37.21712633,27.75,26,0.070851475,2017,12
21.36577304,16.54166667,336,-0.039659049,2016,9
36.46502907,25.13043478,21,0.140187121,2016,10
77.38355193,74.125,19,-0.052312465,2017,1
22.53009481,19.39130435,788,-0.050984032,2015,8
20.36067553,12.29166667,481,0.044456821,2018,11
45.22485782,50.09090909,344,-0.040623869,2017,12
75.19763984,70.08695652,66,-0.176200755,2018,10
49.50693523,57.54166667,82,-0.17724461,2018,5
34.63108946,25.84615385,4,0.116421141,2017,5
42.29704486,42.65217391,9,-0.049215776,2017,10
23.76006572,26.66666667,726,-0.049464726,2017,4
113.3103274,113.173913,59,-0.147033209,2018,10
28.54407902,35.58333333,18,-0.053366587,2015,5
41.50604074,51.70833333,387,-0.036219,2017,7
35.69315126,119.75,816,-0.051549123,2017,8
9.763242895,5.833333333,41,0.087615208,2017,3
35.08800707,29.60869565,21,0.140187121,2017,8
58.05916627,63.375,59,-0.147033209,2018,2
