truevalue,estimate
34.86461265,30.16666667
10.55849362,8.666666667
22.88850286,30.28571429
43.16580848,43.08333333
54.33066705,31.66666667
84.96438769,78.875
35.44742223,40.54166667
29.57760961,39.5
54.17863504,59.16666667
18.3311032,18.54166667
80.20525667,82.75
131.328794,125.2916667
22.97354232,26.33333333
25.32655851,17.20833333
40.26367566,35.91666667
121.0147984,135.4583333
21.31663543,18.40909091
20.23057603,9.727272727
50.63508825,46.81818182
306.9161226,300.2083333
50.07337234,53.70833333
22.98170624,32.29166667
37.45286306,44.25
24.39166999,17.2173913
34.77944471,35.70833333
206.1068543,195.25
53.97080088,58.52173913
45.53032712,38.91666667
39.65529737,39.08333333
46.42194754,50.69565217
11.59342212,20
34.5865455,26.91666667
94.60622573,115.9166667
18.91863576,8
19.11783199,12.66666667
11.54942828,13.125
60.31631765,48.70833333
12.92452738,16.20833333
115.3493366,113.173913
49.99913504,61.08333333
2.468396248,6.4
21.92937925,21.125
94.9669601,111.9130435
47.98621675,62.08333333
81.19760446,87.17391304
38.22092822,39.7826087
53.43291339,60.16666667
21.68409948,8.272727273
13.29722464,13.14285714
118.3967315,126.5416667
105.3300741,69.91666667
8.927459803,16.91304348
68.96746897,72.2
39.10104167,44.20833333
63.92208127,57.16666667
35.41753338,28.79166667
101.5715572,111.3913043
41.0996852,38
15.9682676,15.18181818
120.8772507,127.5416667
36.72187452,31.70833333
336.2679372,346.5652174
33.08800025,29
27.66894286,23.70833333
65.93468913,68.66666667
112.1387984,95.58333333
17.99915429,15.70833333
43.67495219,49.86363636
17.33115489,18.43478261
125.1779783,119.7916667
166.0327228,97.95833333
52.03556809,32
43.80819031,44.79166667
32.79265278,37.91666667
84.64897006,87.66666667
28.58519285,41.15789474
43.35545603,37.5
156.6713757,154.3809524
133.9915677,142.9583333
62.62868412,57.83333333
5.825762403,7.166666667
64.56798929,73.29166667
20.67762324,34.09090909
37.98701441,37.91304348
16.3587889,13
10.27019237,6.777777778
59.77771508,81.29166667
92.4839223,92.79166667
64.8650011,62.375
39.50029511,36.47826087
22.6677456,26.22727273
10.83392198,4.916666667
20.27842416,18.125
23.06588716,23.43478261
40.18159312,38
47.47157576,51.95833333
43.49187404,45.79166667
93.47759851,79.7826087
53.37640852,54.16666667
22.93083572,13.13043478
126.0810022,123
123.3605165,154.9583333
49.1529616,46.45833333
30.49516384,29.8
161.1418841,184.75
42.71232309,38.125
66.13136023,90.08695652
64.02352789,93.25
55.74244903,65.16666667
42.02272421,57.30769231
145.8956327,146.5
31.94567669,43.30434783
14.53921496,20.95454545
68.50682435,79.29166667
7.29205023,28.2173913
29.23423183,22.5
110.4885566,120.7727273
101.2793169,99.625
77.3792855,75.54166667
24.80279604,45.04347826
33.7909818,43.375
76.53999063,77.04166667
149.3084006,157.4166667
102.8336865,86.94117647
17.25038743,17.625
80.07409247,84.25
80.25456931,79.54166667
56.01458029,75.86956522
50.21479911,74.04166667
63.77513779,60.16666667
169.6738452,171.6363636
22.6315424,23.875
14.16342315,14.18181818
126.2319179,171.8125
21.48145577,29.08695652
64.00456677,50.47619048
16.53115591,11.45833333
42.78448392,59.34782609
27.3035947,27.68181818
28.87730304,18.3125
40.91500067,15.58333333
53.73866031,36.76190476
64.12279575,72.65217391
48.92391572,49.125
11.26999957,22.375
7.475793536,8.333333333
22.57570591,15.22727273
16.37710774,14.45833333
66.44821665,58.95833333
173.4847231,209.5
14.19649928,21.66666667
26.21133924,20.08695652
51.17761153,33.5
39.81225553,45.36363636
115.4327787,106.4090909
